timestamp,bid
1514880662.227,1.25459
1514880663.477,1.25457
1514880663.727,1.25455
1514880664.227,1.25454
1514880664.727,1.25453
1514880665.477,1.25453
1514880666.977,1.25453
1514880667.477,1.25453
1514880671.477,1.25454
1514880672.227,1.25454
1514880676.977,1.25453
1514880677.227,1.25454
1514880680.227,1.25455
1514880680.477,1.25458
1514880680.727,1.2546
1514880680.977,1.2546
1514880683.227,1.25459
1514880692.977,1.25461
1514880701.477,1.2546
1514880705.977,1.25459
1514880706.227,1.25452
1514880706.477,1.2545
1514880706.727,1.25451
1514880706.977,1.25453
1514880707.227,1.25454
1514880707.477,1.25453
1514880707.727,1.25452
1514880707.977,1.25449
1514880708.227,1.25448
1514880709.727,1.2545
1514880709.977,1.25448
1514880710.227,1.25448
1514880710.477,1.25446
1514880710.727,1.25444
1514880710.977,1.25443
1514880711.727,1.25443
1514880713.227,1.25444
1514880713.477,1.25446
1514880713.977,1.25447
1514880715.727,1.25445
1514880716.727,1.25443
1514880716.977,1.25439
1514880717.227,1.25441
1514880717.977,1.25446
1514880718.227,1.25447
1514880718.49,1.25446
1514880718.74,1.25444
1514880718.977,1.25445
1514880719.727,1.25444
1514880719.977,1.25444
1514880720.727,1.25443
1514880721.477,1.25442
1514880721.977,1.25445
1514880722.227,1.25447
1514880722.477,1.25448
1514880723.227,1.25446
1514880723.477,1.25444
1514880723.727,1.25442
1514880723.977,1.25442
1514880725.227,1.25442
1514880725.477,1.25442
1514880726.977,1.25442
1514880727.227,1.25444
1514880742.477,1.25445
1514880749.477,1.25444
1514880749.727,1.25444
1514880750.477,1.25442
1514880750.977,1.25443
1514880751.227,1.2544
1514880751.477,1.2544
1514880751.727,1.25439
1514880752.227,1.25441
1514880752.977,1.25439
1514880756.727,1.25438
1514880756.977,1.25432
1514880757.977,1.25433
1514880758.227,1.25433
1514880762.727,1.25433
1514880764.727,1.25433
1514880764.977,1.25432
1514880765.977,1.25427
1514880766.477,1.25426
1514880766.727,1.25425
1514880766.977,1.25423
1514880767.227,1.2542
1514880767.477,1.25421
1514880768.727,1.25421
1514880768.977,1.25419
1514880769.227,1.25417
1514880772.227,1.25416
1514880773.727,1.25417
1514880773.977,1.25417
1514880780.977,1.25415
1514880781.227,1.25409
1514880782.24,1.25411
1514880782.477,1.25415
1514880782.727,1.25417
1514880783.977,1.25417
1514880784.977,1.25417
1514880793.227,1.25415
1514880793.477,1.25415
1514880797.727,1.25416
1514880798.227,1.25416
1514880798.727,1.25416
1514880801.477,1.25417
1514880801.977,1.25417
1514880802.977,1.25417
1514880812.977,1.25417
1514880813.227,1.25417
1514880816.477,1.25417
1514880817.227,1.25415
1514880819.977,1.25415
1514880820.227,1.25418
1514880821.477,1.25417
1514880821.727,1.25416
1514880832.723,1.25414
1514880832.973,1.25415
1514880838.723,1.25416
1514880841.473,1.25415
1514880853.723,1.25415
1514880858.473,1.25414
1514880858.723,1.25416
1514880858.973,1.25415
1514880860.223,1.25415
1514880860.473,1.25416
1514880861.473,1.25416
1514880861.723,1.25415
1514880862.973,1.25415
1514880867.473,1.25416
1514880868.473,1.25416
1514880868.723,1.25416
1514880871.223,1.25417
1514880873.973,1.25416
1514880876.223,1.25417
1514880878.473,1.25416
1514880878.723,1.25412
1514880879.973,1.25411
1514880880.223,1.25412
1514880880.723,1.25411
1514880881.473,1.25412
1514880881.973,1.25414
1514880882.223,1.25419
1514880883.723,1.25418
1514880885.223,1.25417
1514880885.473,1.25418
1514880886.473,1.25418
1514880889.723,1.25418
1514880892.223,1.25419
1514880898.973,1.25419
1514880899.473,1.25418
1514880900.223,1.25419
1514880900.723,1.25418
1514880900.973,1.25419
1514880902.24,1.25418
1514880903.473,1.25417
1514880903.973,1.25418
1514880906.723,1.25419
1514880911.973,1.25418
1514880914.223,1.25417
1514880914.473,1.25417
1514880914.723,1.25417
