"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013949",15614.322566,0,62096.97797,2,"01","04","02","02","01","02",1,0,"23","01","06","06","01",2,1,"01","10","03","01","01","04","06","02",0,0,2,"02","202202",1,"1024"
"9000013953",5461.9822128,6718.4709913,0,1,"03","03","02","02","01","02",1,2,"24","01","04","04","01",2,1,"01","05","04","06","03","02","06","01",1,0,2,"01","202202",1,"1024"
"9000013970",5903.5278646,6780.6235382,0,1,"01","01","02","02","01","02",1,0,"23","01","05","05","01",1,1,"02","01","03","01","02","02","06","01",0,0,1,"01","202202",1,"1024"
"9000013982",7105.8471154,0,32188.166442,1,"01","01","02","02","01","02",1,2,"23","01","07","07","01",2,2,"01","03","03","01","01","02","06","01",0,1,1,"01","202201",1,"1024"
"9000013983",19839.931059,27142.722344,0,3,"01","01","02","02","01","02",3,0,"23","01","04","04","01",4,2,"01","06","03","01","02","04","06","02",1,0,4,"02","202202",1,"1024"
"9000013986",4397.3899408,0,16799.809734,2,"03","03","02","02","01","02",2,6,"23","01","03","03","01",5,2,"01","04","03","01","01","02","06","01",1,2,3,"01","202202",2,"1024"
"9000013987",4574.733753,5639.9801144,0,2,"02","01","02","02","01","02",2,2,"23","01","06","06","01",2,2,"01","10","03","01","03","04","06","02",0,0,2,"02","202201",0,"1024"
"9000014012",21593.010022,25628.79977,0,2,"03","03","02","02","01","02",2,0,"24","01","01","01","01",4,1,"01","06","04","06","03","04","06","02",2,0,4,"01","202202",0,"1024"
"9000014013",21168.087974,0,93094.495697,2,"01","01","02","02","01","02",2,0,"23","01","07","07","01",4,3,"01","04","03","01","01","04","06","02",0,2,2,"02","202201",1,"1024"
"9000014017",12508.92519,16767.087506,0,2,"03","04","02","02","01","02",2,2,"23","01","03","03","01",3,1,"01","06","03","01","04","04","06","02",1,0,3,"02","202202",2,"1024"
"9000014027",3331.4998352,0,15684.57838,1,"02","04","02","02","01","02",1,0,"23","01","03","03","01",1,2,"02","09","03","01","01","04","06","02",0,0,1,"02","202201",0,"1024"
"9000014029",47861.330173,57293.434715,0,2,"01","02","02","02","01","01",1,0,"23","01","05","05","04",6,1,"01","04","03","01","03","02","06","01",3,1,5,"01","202202",1,"1024"
"9000014037",27289.634306,0,128682.8605,1,"01","01","02","02","01","02",1,5,"24","01","05","05","01",2,2,"01","07","04","06","07","04","06","02",1,0,2,"02","202203",1,"1024"
"9000014050",2667.3551033,3303.0803933,0,2,"01","01","02","02","01","02",2,8,"23","01","07","07","01",2,3,"01","02","03","01","06","04","06","02",0,0,2,"02","202202",2,"1024"
"9000014066",37228.333043,42936.668157,0,1,"03","02","02","02","01","01",1,1,"23","01","01","01","01",6,1,"01","03","03","01","03","02","06","01",4,1,5,"01","202202",0,"1024"
"9000014086",7160.9175351,9728.9666462,0,1,"02","03","02","03","02","02",1,4,"33","01","05","05","01",1,1,"02","09","03","03","03","01","02","01",0,0,1,"01","202202",1,"1025"
"9000014090",24542.362021,0,84404.437986,2,"03","03","01","03","02","02",2,3,"31","01","08","08","01",2,1,"01","02","01","04","01","01","04","01",0,0,2,"01","202201",2,"1025"
"9000014092",10522.212402,15184.589736,0,2,"03","02","02","03","02","02",2,15,"32","01","07","07","01",2,2,"01","02","02","04","03","01","05","01",0,0,2,"01","202202",2,"1025"
"9000014119",13787.131579,20172.578376,0,2,"01","01","02","03","02","02",2,5,"33","01","08","08","01",2,2,"01","02","03","03","04","01","03","01",0,0,2,"01","202202",2,"1025"
"9000014136",18875.897611,26618.701773,0,2,"02","01","01","03","02","02",2,6,"31","01","06","06","02",3,2,"01","08","01","04","02","01","04","01",1,0,3,"01","202202",2,"1025"
"9000014137",9403.1144889,12497.124831,0,2,"02","01","02","03","02","02",2,4,"33","01","06","06","01",2,2,"01","10","03","01","06","04","06","02",0,0,2,"02","202201",2,"1026"
"9000014147",7270.6031353,10109.270786,0,2,"01","01","02","03","02","02",2,4,"33","01","08","08","01",2,2,"01","02","03","02","02","01","02","01",0,0,2,"01","202201",2,"1025"
"9000014155",5028.9460907,0,17369.327432,2,"01","01","02","03","02","02",2,2,"32","01","08","08","01",2,1,"01","02","02","04","01","01","05","01",0,0,2,"01","202201",2,"1025"
"9000014159",62631.625512,87454.927747,0,1,"01","01","02","03","02","02",1,0,"33","01","01","01","01",1,1,"02","09","03","03","05","01","03","01",0,0,1,"01","202203",0,"1025"
"9000014160",7094.2363607,9111.2467627,0,1,"03","03","02","03","02","02",1,2,"33","01","03","03","01",1,1,"02","01","03","03","06","01","03","01",0,0,1,"01","202202",1,"1025"
"9000014175",6021.5697992,7236.7860106,0,1,"01","01","02","03","02","02",1,2,"32","01","05","05","01",1,1,"02","01","02","05","05","01","05","01",0,0,1,"01","202202",1,"1025"
"9000014177",9458.6412479,0,33809.211659,2,"01","01","02","03","02","02",2,10,"33","01","08","08","01",4,2,"01","06","03","03","01","01","02","01",2,0,4,"01","202201",2,"1025"
"9000014183",3532.6792652,4722.9594761,0,1,"01","01","02","03","02","02",1,0,"33","01","03","03","01",1,1,"02","09","03","02","02","01","02","01",0,0,1,"01","202201",0,"1025"
"9000014188",24395.341878,35891.909673,0,2,"01","01","02","03","02","02",2,2,"33","01","10","10","01",2,2,"01","02","03","01","06","01","01","01",0,0,2,"01","202201",2,"1025"
"9000014197",12399.007238,16328.684078,0,1,"03","03","02","03","02","02",1,0,"32","01","05","05","02",1,1,"02","09","02","05","04","01","05","01",0,0,1,"01","202202",0,"1025"
"9000014198",7446.4974048,9962.5142063,0,2,"01","01","02","03","02","02",2,2,"32","01","07","07","01",2,2,"01","10","02","04","06","01","05","01",0,0,2,"01","202201",1,"1025"
"9000014202",28477.339528,37452.158339,0,3,"03","01","02","03","02","02",2,1,"33","01","05","05","02",5,2,"01","03","03","01","05","01","01","01",1,1,4,"01","202202",1,"1025"
"9000014213",11207.971562,14090.185347,0,2,"03","04","02","03","02","02",2,0,"33","01","04","04","01",2,2,"01","02","03","03","02","04","06","02",0,0,2,"02","202201",1,"1026"
"9000014214",27992.137552,41607.421421,0,2,"01","01","02","03","02","02",2,4,"32","01","09","09","01",3,2,"01","06","02","04","05","01","05","01",1,0,3,"01","202201",2,"1025"
"9000014218",24838.898903,0,124416.20101,1,"04","05","02","03","02","02",1,0,"33","01","01","01","97",1,17,"02","01","03","01","01","01","01","01",0,0,1,"01","202202",0,"1025"
"9000014220",6803.7705668,8962.906846,0,2,"01","01","02","03","02","02",2,2,"33","01","08","08","01",2,3,"01","02","03","02","03","04","06","02",0,0,2,"02","202201",2,"1026"
"9000014228",4954.4280587,6304.6295553,0,1,"01","02","02","03","02","02",1,4,"32","01","07","07","01",1,1,"02","09","02","04","06","01","05","01",0,0,1,"01","202202",0,"1025"
"9000014236",18236.985543,0,65298.159425,2,"01","01","02","03","02","02",2,0,"33","02","07","07","01",4,2,"01","06","03","01","07","02","06","01",2,0,3,"01","202202",2,"1025"
"9000014259",4253.8786499,0,16059.161232,2,"01","01","02","03","02","02",2,4,"33","01","03","03","01",2,2,"01","02","03","01","01","04","06","02",0,0,2,"01","202202",1,"1025"
"9000014268",5634.755018,8068.6750009,0,3,"01","01","02","03","02","02",3,6,"32","01","11","11","01",5,3,"01","06","02","04","02","01","05","01",2,0,5,"01","202201",3,"1025"
"9000014271",9284.7491791,11240.753797,0,2,"02","01","02","03","02","02",2,4,"33","01","05","05","01",2,2,"01","10","03","02","05","01","02","01",0,0,2,"01","202201",0,"1025"
"9000014277",8699.7310861,10570.318135,0,1,"03","03","02","03","02","02",1,0,"33","01","03","03","01",1,1,"02","01","03","01","02","04","06","02",0,0,1,"02","202201",0,"1026"
