,point_1,ci68l_1,ci68u_1,ci90l_1,ci90u_1,point_2,ci68l_2,ci68u_2,ci90l_2,ci90u_2,point_3,ci68l_3,ci68u_3,ci90l_3,ci90u_3,point_4,ci68l_4,ci68u_4,ci90l_4,ci90u_4
20,-0.918409,-1.35903,-0.873681,-1.50823,-0.697939,0.422919,-0.233259,0.97751,-0.646258,1.39292,-1.21285,-2.25803,-0.557056,-2.83184,0.0609598,-1.84858,-3.97262,-0.0877586,-5.26398,1.2657
21,-0.897434,-1.34674,-0.852619,-1.50166,-0.677449,0.684739,0.029877,1.23519,-0.381798,1.63658,-1.18087,-2.26239,-0.521949,-2.83094,0.115732,-1.60129,-3.77419,0.134752,-5.07492,1.47718
22,-0.878765,-1.32819,-0.829575,-1.48191,-0.651049,0.622132,-0.0235903,1.19936,-0.436544,1.61963,-1.28425,-2.38886,-0.628305,-2.97639,0.0392341,-1.35969,-3.56111,0.369534,-4.8931,1.72387
23,-0.91413,-1.36585,-0.8639,-1.51696,-0.683316,0.253966,-0.379817,0.844603,-0.79065,1.26578,-1.30333,-2.42614,-0.630926,-3.04115,0.0314802,-1.93625,-4.16549,-0.190953,-5.5351,1.18773
24,-0.885892,-1.33693,-0.837647,-1.49081,-0.656581,0.167544,-0.4616,0.743989,-0.873777,1.13831,-1.30941,-2.46562,-0.655162,-3.10381,0.0257658,-1.74373,-3.97681,0.0474516,-5.37158,1.44801
25,-0.904844,-1.35817,-0.860339,-1.50555,-0.673593,0.118242,-0.495778,0.669325,-0.89662,1.06024,-1.37507,-2.55386,-0.730055,-3.18463,-0.0575831,-1.37467,-3.61373,0.383022,-4.99349,1.79176
26,-0.879072,-1.32875,-0.835177,-1.48201,-0.644524,0.175663,-0.424084,0.708947,-0.817398,1.09798,-1.37998,-2.57033,-0.750307,-3.19891,-0.057652,-1.09152,-3.33822,0.63846,-4.66645,2.03441
27,-0.908371,-1.36266,-0.867544,-1.51034,-0.680338,0.271706,-0.317413,0.786837,-0.714154,1.15754,-1.51009,-2.71874,-0.877405,-3.33832,-0.200264,-0.905845,-3.15844,0.771142,-4.46491,2.1325
28,-0.905689,-1.35754,-0.863889,-1.5074,-0.683496,0.36382,-0.224182,0.870091,-0.604852,1.23561,-1.56824,-2.796,-0.958343,-3.4019,-0.273385,-0.800763,-3.03593,0.798894,-4.36282,2.16369
29,-0.854037,-1.30485,-0.810868,-1.45032,-0.63261,0.475074,-0.0939819,0.98432,-0.475642,1.34967,-1.59478,-2.83873,-1.00378,-3.431,-0.33169,-0.795861,-3.00475,0.735546,-4.30886,2.0482
